# spin p0 e0 inclination pos Edot_tot Ldot_tot Qdot_tot Edot_hor Edot_inf Ldot_hor Ldot_inf Qdot_hor Qdot_inf elapsed  iu iw iz
9.9996837722339826e-01 1.1080299249763090e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.2100000000000000e+02 5.2400472060024239e-02 1.1262146701125701e-01 1.5994067209231872e-16 -7.6645961734835037e-03 6.0065068233507247e-02 -1.6478178785971315e-02 1.2909964579722716e-01 -2.3400100179828694e-17 1.8334077227214652e-16 3.6079280920999590e+03 1 1 2
9.9999822172058994e-01 1.0825014508785353e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.3100000000000000e+02 2.3464073662030488e-02 4.9345995193724151e-02 3.2334165947280521e-17 -1.8619920939712844e-02 4.2083994601743085e-02 -3.9239529867446346e-02 8.8585525061169623e-02 -2.5694757791309817e-17 5.8028923738590199e-17 8.9049973783292808e+02 1 1 3
9.9999990000000005e-01 1.0758481982871733e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.4100000000000000e+02 -3.4795812133084102e-02 -7.2342453275633031e-02 -1.1955817581578150e-16 -6.8662818659801367e-02 3.3867006526716641e-02 -1.4301266213009442e-01 7.0670208854460070e-02 -2.3626976569878658e-16 1.1671158988300427e-16 1.3417819967621472e+03 1 1 4
9.9999999437658671e-01 1.0742230257886685e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.1500000000000000e+02 -1.4174364097502723e-01 -2.9465490529901733e-01 -3.1473410760935395e-17 -1.7482546154238812e-01 3.3081820567360629e-02 -3.6363742728340964e-01 6.8982521984392434e-02 -3.8819050539015819e-17 7.3456397780803643e-18 1.3008648226999212e+03 1 1 5
9.9999999968377229e-01 1.0738346886048520e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.2500000000000000e+02 -2.2982426495595138e-02 -4.7611151307892612e-02 -6.8533919504554156e-17 -5.5424207308400295e-02 3.2441780812805063e-02 -1.1528029120284820e-01 6.7669139894955141e-02 -1.6589084650975061e-16 9.7356927005195839e-17 1.2774328607770149e+03 1 1 6
9.9999999998221722e-01 1.0737424293378135e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.3500000000000000e+02 -9.5896577501346739e-02 -1.9925281497172737e-01 -3.5725685514617936e-16 -1.2888951437926102e-01 3.2992936877914443e-02 -2.6807249226369417e-01 6.8819677291966114e-02 -4.8076362116231602e-16 1.2350676601613647e-16 2.4609432601088192e+03 1 1 7
9.9999999999900002e-01 1.0737205407999442e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.4500000000000000e+02 -7.5767286040641632e-02 -1.5734001760496866e-01 -1.7339344238224278e-16 -1.0862679605171757e-01 3.2859510011075566e-02 -2.2586564617034552e-01 6.8525628565376695e-02 -2.4884898070727630e-16 7.5455538325032532e-17 2.4140317042900715e+03 1 1 8
9.8999999999999999e-01 1.5393453000363944e+00 1.0000000000000001e-01 1.0000000000000000e+00 8.9100000000000000e+02 8.6640153915525153e-02 2.4405723149405628e-01 3.0238922583609653e-16 -8.0259432429672598e-03 9.4666097158492057e-02 -2.2591648759728578e-02 2.6664888025378253e-01 -2.7986006478071272e-17 3.3037523231416456e-16 1.9957464464497752e+02 1 2 0
9.9943765867480960e-01 1.2332564727828095e+00 1.0000000000000001e-01 1.0000000000000000e+00 9.1000000000000000e+02 7.9020921013594717e-02 1.8265049051436280e-01 -2.2579316684647305e-16 -1.0218342103079946e-02 8.9239263116673823e-02 -2.3632703041347389e-02 2.0628319355570859e-01 2.9216157525491792e-17 -2.5500932437195934e-16 5.7870574496593326e+02 1 2 1
9.9996837722339826e-01 1.1516880024396423e+00 1.0000000000000001e-01 1.0000000000000000e+00 9.1100000000000000e+02 5.1061567621481216e-02 1.1108718098684578e-01 1.0264607284929978e-16 -7.3620169814467588e-03 5.8423584602927174e-02 -1.6068985701044747e-02 1.2715616668788970e-01 -1.4869404880819854e-17 1.1751547773011720e-16 9.0512278176005930e+02 1 2 2
